product_id;product_name;category_id;supplier_id;buy_price;sell_price;min_stock;initial_stock;current_stock
PRD001;Kopi Espresso Blend 1kg;CAT01;SUP001;120000;175000;15;50;36
PRD002;Kopi Single Origin Rinjani 250g;CAT01;SUP001;45000;70000;10;40;22
PRD003;Teh Hijau Match Premium 500g;CAT01;SUP002;85000;130000;10;30;37
PRD004;Sirup Vanilla 760ml;CAT02;SUP002;70000;105000;8;25;141
PRD005;Sirup Caramel 760ml;CAT02;SUP002;70000;105000;8;25;23
PRD006;Sirup Hazelnut 760ml;CAT02;SUP002;75000;110000;5;20;96
PRD007;Susu UHT Full Cream 1L (Karton 12pcs);CAT03;SUP003;180000;225000;20;60;92
PRD008;Sorella Condensed Milk 1kg;CAT03;SUP003;28000;40000;15;45;83
PRD009;Paper Cup 12oz + Lid (Pack 50pcs);CAT04;SUP004;35000;52000;30;100;317
PRD010;Sedotan Steril Eco (Pack 100pcs);CAT04;SUP004;12000;20000;25;80;186
PRD011;Boba Tapioca Pearl 1kg;CAT05;SUP005;22000;35000;20;50;80
PRD012;Gula Aren Cair 1L;CAT05;SUP005;32000;48000;15;40;282
