purchase_id,purchase_date,supplier_id,product_id,quantity,unit_cost,total_cost
PUR-202501-0001,2025-01-03,SUP002,PRD006,50,75000,3750000
PUR-202501-0002,2025-01-07,SUP001,PRD001,50,120000,6000000
PUR-202501-0003,2025-01-08,SUP004,PRD009,80,35000,2800000
PUR-202501-0004,2025-01-09,SUP002,PRD005,40,70000,2800000
PUR-202501-0005,2025-01-09,SUP002,PRD006,30,75000,2250000
PUR-202501-0006,2025-01-09,SUP004,PRD010,20,12000,240000
PUR-202501-0007,2025-01-10,SUP002,PRD003,30,85000,2550000
PUR-202501-0008,2025-01-10,SUP002,PRD004,20,70000,1400000
PUR-202501-0009,2025-01-11,SUP001,PRD002,40,45000,1800000
PUR-202501-0010,2025-01-11,SUP005,PRD011,40,22000,880000
PUR-202501-0011,2025-01-14,SUP003,PRD007,40,180000,7200000
PUR-202501-0012,2025-01-16,SUP003,PRD008,80,28000,2240000
PUR-202501-0013,2025-01-16,SUP004,PRD010,40,12000,480000
PUR-202501-0014,2025-01-17,SUP005,PRD012,80,32000,2560000
PUR-202501-0015,2025-01-19,SUP002,PRD004,80,70000,5600000
PUR-202501-0016,2025-01-19,SUP002,PRD005,30,70000,2100000
PUR-202501-0017,2025-01-24,SUP002,PRD003,40,85000,3400000
PUR-202501-0018,2025-01-27,SUP001,PRD001,30,120000,3600000
PUR-202501-0019,2025-01-27,SUP001,PRD002,80,45000,3600000
PUR-202501-0020,2025-01-27,SUP005,PRD011,20,22000,440000
PUR-202501-0021,2025-01-28,SUP002,PRD005,100,70000,7000000
PUR-202501-0022,2025-01-30,SUP003,PRD007,50,180000,9000000
PUR-202501-0023,2025-01-31,SUP005,PRD011,40,22000,880000
PUR-202502-0024,2025-02-03,SUP002,PRD005,40,70000,2800000
PUR-202502-0025,2025-02-06,SUP001,PRD002,40,45000,1800000
PUR-202502-0026,2025-02-09,SUP001,PRD001,40,120000,4800000
PUR-202502-0027,2025-02-09,SUP002,PRD004,30,70000,2100000
PUR-202502-0028,2025-02-10,SUP005,PRD012,30,32000,960000
PUR-202502-0029,2025-02-11,SUP005,PRD011,50,22000,1100000
PUR-202502-0030,2025-02-14,SUP002,PRD003,80,85000,6800000
PUR-202502-0031,2025-02-14,SUP002,PRD006,30,75000,2250000
PUR-202502-0032,2025-02-17,SUP003,PRD008,50,28000,1400000
PUR-202502-0033,2025-02-17,SUP005,PRD011,50,22000,1100000
PUR-202502-0034,2025-02-18,SUP005,PRD012,80,32000,2560000
PUR-202502-0035,2025-02-19,SUP002,PRD004,40,70000,2800000
PUR-202502-0036,2025-02-19,SUP004,PRD010,50,12000,600000
PUR-202502-0037,2025-02-21,SUP002,PRD006,80,75000,6000000
PUR-202502-0038,2025-02-21,SUP003,PRD007,30,180000,5400000
PUR-202502-0039,2025-02-24,SUP004,PRD009,80,35000,2800000
PUR-202502-0040,2025-02-25,SUP002,PRD006,40,75000,3000000
PUR-202502-0041,2025-02-28,SUP003,PRD007,100,180000,18000000
PUR-202503-0042,2025-03-01,SUP001,PRD001,40,120000,4800000
PUR-202503-0043,2025-03-03,SUP002,PRD004,50,70000,3500000
PUR-202503-0044,2025-03-06,SUP002,PRD004,30,70000,2100000
PUR-202503-0045,2025-03-06,SUP003,PRD008,40,28000,1120000
PUR-202503-0046,2025-03-08,SUP001,PRD001,100,120000,12000000
PUR-202503-0047,2025-03-08,SUP001,PRD002,30,45000,1350000
PUR-202503-0048,2025-03-13,SUP002,PRD003,50,85000,4250000
PUR-202503-0049,2025-03-14,SUP002,PRD004,20,70000,1400000
PUR-202503-0050,2025-03-16,SUP004,PRD010,40,12000,480000
PUR-202503-0051,2025-03-20,SUP004,PRD009,30,35000,1050000
PUR-202503-0052,2025-03-20,SUP005,PRD011,50,22000,1100000
PUR-202503-0053,2025-03-22,SUP001,PRD002,40,45000,1800000
PUR-202503-0054,2025-03-22,SUP005,PRD012,30,32000,960000
PUR-202503-0055,2025-03-23,SUP002,PRD006,30,75000,2250000
PUR-202503-0056,2025-03-23,SUP003,PRD008,30,28000,840000
PUR-202503-0057,2025-03-24,SUP003,PRD007,50,180000,9000000
PUR-202503-0058,2025-03-25,SUP002,PRD005,50,70000,3500000
PUR-202503-0059,2025-03-26,SUP004,PRD009,40,35000,1400000
PUR-202503-0060,2025-03-26,SUP005,PRD012,100,32000,3200000
PUR-202503-0061,2025-03-27,SUP002,PRD005,30,70000,2100000
PUR-202503-0062,2025-03-29,SUP003,PRD008,20,28000,560000
PUR-202503-0063,2025-03-29,SUP004,PRD010,30,12000,360000
PUR-202503-0064,2025-03-30,SUP002,PRD003,30,85000,2550000
PUR-202504-0065,2025-04-01,SUP003,PRD007,40,180000,7200000
PUR-202504-0066,2025-04-03,SUP005,PRD011,50,22000,1100000
PUR-202504-0067,2025-04-04,SUP002,PRD003,50,85000,4250000
PUR-202504-0068,2025-04-06,SUP003,PRD007,100,180000,18000000
PUR-202504-0069,2025-04-07,SUP002,PRD005,80,70000,5600000
PUR-202504-0070,2025-04-08,SUP001,PRD002,100,45000,4500000
PUR-202504-0071,2025-04-08,SUP004,PRD009,50,35000,1750000
PUR-202504-0072,2025-04-09,SUP003,PRD008,100,28000,2800000
PUR-202504-0073,2025-04-13,SUP002,PRD004,40,70000,2800000
PUR-202504-0074,2025-04-13,SUP004,PRD010,30,12000,360000
PUR-202504-0075,2025-04-14,SUP003,PRD007,100,180000,18000000
PUR-202504-0076,2025-04-15,SUP005,PRD011,50,22000,1100000
PUR-202504-0077,2025-04-17,SUP003,PRD007,30,180000,5400000
PUR-202504-0078,2025-04-18,SUP002,PRD006,40,75000,3000000
PUR-202504-0079,2025-04-19,SUP004,PRD009,80,35000,2800000
PUR-202504-0080,2025-04-20,SUP004,PRD010,100,12000,1200000
PUR-202504-0081,2025-04-22,SUP002,PRD005,30,70000,2100000
PUR-202504-0082,2025-04-23,SUP001,PRD001,40,120000,4800000
PUR-202504-0083,2025-04-23,SUP002,PRD006,40,75000,3000000
PUR-202504-0084,2025-04-23,SUP003,PRD008,20,28000,560000
PUR-202504-0085,2025-04-27,SUP002,PRD003,100,85000,8500000
PUR-202505-0086,2025-05-01,SUP002,PRD003,30,85000,2550000
PUR-202505-0087,2025-05-01,SUP002,PRD006,100,75000,7500000
PUR-202505-0088,2025-05-04,SUP002,PRD004,50,70000,3500000
PUR-202505-0089,2025-05-05,SUP003,PRD008,50,28000,1400000
PUR-202505-0090,2025-05-06,SUP001,PRD001,100,120000,12000000
PUR-202505-0091,2025-05-06,SUP005,PRD011,20,22000,440000
PUR-202505-0092,2025-05-07,SUP001,PRD001,20,120000,2400000
PUR-202505-0093,2025-05-10,SUP002,PRD003,100,85000,8500000
PUR-202505-0094,2025-05-10,SUP004,PRD009,50,35000,1750000
PUR-202505-0095,2025-05-13,SUP005,PRD011,50,22000,1100000
PUR-202505-0096,2025-05-15,SUP001,PRD002,100,45000,4500000
PUR-202505-0097,2025-05-16,SUP001,PRD001,20,120000,2400000
PUR-202505-0098,2025-05-18,SUP005,PRD012,100,32000,3200000
PUR-202505-0099,2025-05-20,SUP003,PRD008,50,28000,1400000
PUR-202505-0100,2025-05-21,SUP005,PRD011,100,22000,2200000
PUR-202505-0101,2025-05-21,SUP005,PRD012,100,32000,3200000
PUR-202505-0102,2025-05-23,SUP001,PRD001,20,120000,2400000
PUR-202505-0103,2025-05-26,SUP004,PRD010,50,12000,600000
PUR-202505-0104,2025-05-29,SUP002,PRD005,80,70000,5600000
PUR-202505-0105,2025-05-31,SUP002,PRD004,30,70000,2100000
PUR-202505-0106,2025-05-31,SUP003,PRD008,30,28000,840000
PUR-202506-0107,2025-06-01,SUP001,PRD001,100,120000,12000000
PUR-202506-0108,2025-06-03,SUP003,PRD008,20,28000,560000
PUR-202506-0109,2025-06-03,SUP004,PRD009,30,35000,1050000
PUR-202506-0110,2025-06-04,SUP003,PRD007,30,180000,5400000
PUR-202506-0111,2025-06-08,SUP004,PRD010,80,12000,960000
PUR-202506-0112,2025-06-09,SUP001,PRD002,40,45000,1800000
PUR-202506-0113,2025-06-12,SUP003,PRD008,80,28000,2240000
PUR-202506-0114,2025-06-15,SUP002,PRD004,100,70000,7000000
PUR-202506-0115,2025-06-15,SUP002,PRD005,100,70000,7000000
PUR-202506-0116,2025-06-17,SUP004,PRD009,30,35000,1050000
PUR-202506-0117,2025-06-18,SUP002,PRD003,50,85000,4250000
PUR-202506-0118,2025-06-20,SUP004,PRD010,100,12000,1200000
