sales_id,sales_date,customer_id,product_id,quantity,unit_price,total_revenue,cogs,profit
TRX-202501-0001,2025-01-01,CUST003,PRD007,3,225000,675000,540000,135000
TRX-202501-0001,2025-01-01,CUST003,PRD006,4,110000,440000,300000,140000
TRX-202501-0001,2025-01-01,CUST003,PRD005,6,105000,630000,420000,210000
TRX-202501-0002,2025-01-01,CUST002,PRD007,2,225000,450000,360000,90000
TRX-202501-0003,2025-01-02,CUST005,PRD011,3,35000,105000,66000,39000
TRX-202501-0003,2025-01-02,CUST005,PRD006,6,110000,660000,450000,210000
TRX-202501-0004,2025-01-02,CUST006,PRD011,5,35000,175000,110000,65000
TRX-202501-0005,2025-01-02,CUST002,PRD011,4,35000,140000,88000,52000
TRX-202501-0005,2025-01-02,CUST002,PRD003,3,130000,390000,255000,135000
TRX-202501-0005,2025-01-02,CUST002,PRD009,8,52000,416000,280000,136000
TRX-202501-0006,2025-01-02,CUST007,PRD011,4,35000,140000,88000,52000
TRX-202501-0006,2025-01-02,CUST007,PRD009,6,52000,312000,210000,102000
TRX-202501-0007,2025-01-02,CUST001,PRD001,6,175000,1050000,720000,330000
TRX-202501-0008,2025-01-03,CUST008,PRD001,2,175000,350000,240000,110000
TRX-202501-0009,2025-01-03,CUST003,PRD003,2,130000,260000,170000,90000
TRX-202501-0009,2025-01-03,CUST003,PRD011,7,35000,245000,154000,91000
TRX-202501-0009,2025-01-03,CUST003,PRD007,7,225000,1575000,1260000,315000
TRX-202501-0010,2025-01-03,CUST008,PRD005,2,105000,210000,140000,70000
TRX-202501-0010,2025-01-03,CUST008,PRD009,5,52000,260000,175000,85000
TRX-202501-0010,2025-01-03,CUST008,PRD001,6,175000,1050000,720000,330000
TRX-202501-0011,2025-01-04,CUST002,PRD005,1,105000,105000,70000,35000
TRX-202501-0011,2025-01-04,CUST002,PRD004,4,105000,420000,280000,140000
TRX-202501-0012,2025-01-04,CUST002,PRD012,8,48000,384000,256000,128000
TRX-202501-0013,2025-01-05,CUST002,PRD001,4,175000,700000,480000,220000
TRX-202501-0013,2025-01-05,CUST002,PRD010,4,20000,80000,48000,32000
TRX-202501-0014,2025-01-05,CUST001,PRD012,1,48000,48000,32000,16000
TRX-202501-0015,2025-01-05,CUST004,PRD001,6,175000,1050000,720000,330000
TRX-202501-0016,2025-01-06,CUST006,PRD004,4,105000,420000,280000,140000
TRX-202501-0017,2025-01-06,CUST004,PRD008,3,40000,120000,84000,36000
TRX-202501-0017,2025-01-06,CUST004,PRD003,5,130000,650000,425000,225000
TRX-202501-0017,2025-01-06,CUST004,PRD007,8,225000,1800000,1440000,360000
TRX-202501-0018,2025-01-06,CUST004,PRD008,2,40000,80000,56000,24000
TRX-202501-0019,2025-01-06,CUST001,PRD009,4,52000,208000,140000,68000
TRX-202501-0019,2025-01-06,CUST001,PRD001,3,175000,525000,360000,165000
TRX-202501-0019,2025-01-06,CUST001,PRD002,7,70000,490000,315000,175000
TRX-202501-0020,2025-01-06,CUST008,PRD004,1,105000,105000,70000,35000
TRX-202501-0020,2025-01-06,CUST008,PRD007,3,225000,675000,540000,135000
TRX-202501-0021,2025-01-07,CUST003,PRD010,2,20000,40000,24000,16000
