customer_id;customer_name;customer_type;contact_person;phone;city
CUS001;CV Marpaung Nugroho;Restaurant;Aisyah Nugroho;86342160733;Bekasi
CUS002;UD Samosir Pradana (Persero) Tbk;Cafe;Maryanto Nababan;80541458685;Depok
CUS004;Perum Nainggolan Rajasa (Persero) Tbk;Coffee Shop;Maya Adriansyah, M.TI.;8835615951;Surabaya
CUS005;Perum Saragih Tbk;Coffee Shop;Latika Sihombing;8823662994;Tangerang
CUS006;Perum Adriansyah Sihombing Tbk;Restaurant;Irfan Prastuti;87773872148;Malang
CUS007;PT Prakasa Tbk;Restaurant;Reksa Napitupulu;82003791769;Jakarta
CUS009;PD Mansur;Retail;drg. Mulyanto Nuraini, M.Pd;87986872774;Bandung
CUS010;UD Nurdiyanti Laksita;Bakery;Digdaya Saefullah, M.M.;80434558122;Bandung
CUS011;PD Mangunsong Prabowo;Retail;Heryanto Wasita;88760366909;Bekasi
CUS012;PD Ardianto Thamrin Tbk;Office;dr. Simon Andriani, M.Pd;8893734670;Malang
CUS013;UD Winarsih Wastuti Tbk;Restaurant;Eli Hastuti, S.E.I;8806990162;Malang
CUS014;CV Hardiansyah Rajata Tbk;Cafe;Gabriella Hasanah;85646417080;Bandung
CUS017;Perum Lazuardi (Persero) Tbk;Cafe;Patricia Aryani;81850671657;Bandung
CUS018;PD Nugroho Nurdiyanti;Bakery;Emong Susanti, M.Pd;87694531473;Bekasi
CUS019;Perum Suryatmi Winarsih Tbk;Bakery;Ana Lailasari;82735454948;Tangerang
CUS020;Perum Nainggolan;Cafe;Dimas Wasita;8377701436;Tangerang
CUS021;UD Wijayanti Prastuti;Restaurant;Nabila Puspasari;856855744;Depok
CUS022;CV Lazuardi (Persero) Tbk;Office;Devi Nasyiah;82337498941;Bekasi
CUS023;UD Pradana Tarihoran;Office;Gada Budiman;8824008427;Bandung
CUS024;PT Pertiwi;Retail;Nadine Kuswandari;85204711671;Bogor
CUS026;UD Rahmawati Aryani Tbk;Cafe;Ir. Almira Suryatmi;80334123281;Semarang
CUS028;PT Palastri Prasetyo (Persero) Tbk;Office;Yunita Megantara;80024994717;Yogyakarta
CUS030;UD Permata;Coffee Shop;Prabowo Natsir;8742967175;Depok
CUS031;UD Sinaga Winarsih (Persero) Tbk;Coffee Shop;R. Julia Zulkarnain, M.Kom.;86807154516;Tangerang
CUS032;Perum Hariyah;Bakery;Anastasia Nainggolan;859770348;Bekasi
CUS034;CV Mandasari;Retail;Icha Melani, S.T.;80773782639;Tangerang
CUS035;PT Saefullah Agustina;Cafe;Winda Mayasari;80449972787;Semarang
CUS037;PT Mahendra Mardhiyah Tbk;Cafe;Puti Zulfa Farida, S.IP;870262174;Bekasi
CUS038;Perum Widodo (Persero) Tbk;Cafe;dr. Zulaikha Wulandari, M.Pd;80578091343;Depok
CUS039;PD Januar;Office;Ir. Niyaga Januar, M.M.;82400504556;Yogyakarta
CUS040;CV Nuraini Zulkarnain;Retail;Hj. Widya Najmudin;82219693792;Bekasi
CUS042;UD Hasanah Sihombing (Persero) Tbk;Bakery;Zulaikha Laksmiwati;80369594406;Malang
CUS044;PT Prastuti Utama (Persero) Tbk;Cafe;Upik Sihombing;86232858842;Bogor
CUS046;UD Padmasari Tbk;Coffee Shop;Hj. Kasiyah Kurniawan, S.H.;80985931746;Jakarta
CUS047;CV Gunawan;Coffee Shop;Gadang Lailasari;80138267586;Bogor
CUS049;PT Widodo Tbk;Office;Banawi Hasanah;80390053293;Surabaya
CUS050;Perum Pranowo;Retail;R.A. Yulia Pradipta;82904228421;Bandung
CUS051;CV Budiman;Bakery;Widya Prakasa;80240268117;Surabaya
CUS053;PD Hidayanto Hutapea Tbk;Retail;R. Bella Mahendra;89985698478;Bekasi
CUS054;PT Latupono Yolanda (Persero) Tbk;Retail;Mila Pradana;80576615654;Jakarta
CUS055;CV Kusmawati (Persero) Tbk;Office;Radika Hutasoit;80615280988;Bandung
CUS056;PT Zulkarnain Tbk;Office;Hj. Umi Anggraini, S.Gz;89451983273;Yogyakarta
CUS058;UD Sirait Tbk;Coffee Shop;Cemeti Megantara;80120183667;Bekasi
CUS059;CV Uwais Tbk;Bakery;Jane Purnawati, M.Ak;80022901476;Bogor
CUS060;Perum Handayani Agustina Tbk;Bakery;Perkasa Mulyani;80561497840;Jakarta
CUS062;Perum Pradana Mardhiyah Tbk;Retail;Hasta Gunarto;80071596966;Bogor
CUS063;PT Waskita (Persero) Tbk;Retail;Ella Safitri;85161369681;Bandung
CUS064;UD Sirait Prasetya Tbk;Office;R.M. Bahuwarna Melani, S.IP;883552312;Bekasi
CUS065;CV Natsir (Persero) Tbk;Office;KH. Marwata Hutagalung, S.E.;87997995527;Yogyakarta
CUS067;PT Yuliarti (Persero) Tbk;Cafe;Ir. Ophelia Winarno;89807935978;Tangerang
CUS068;PT Hartati Jailani;Cafe;Tgk. Nasab Hutasoit, M.TI.;82037788925;Yogyakarta
CUS069;UD Wibisono Tbk;Retail;Tgk. Mustika Rahimah, S.Gz;81518644925;Jakarta
CUS070;Perum Wijayanti;Retail;Vero Tampubolon;86291486528;Tangerang
CUS071;PD Melani;Bakery;Anita Tarihoran;82357332214;Jakarta
CUS072;Perum Namaga;Coffee Shop;Drs. Ani Wijayanti, S.Psi;82962229270;Tangerang
CUS074;Perum Nuraini Andriani (Persero) Tbk;Coffee Shop;R.A. Wani Suartini, S.E.I;80758181412;Depok
CUS075;PD Mulyani (Persero) Tbk;Retail;drg. Cornelia Prasetya, M.M.;80606853615;Bandung
CUS078;Perum Permata;Cafe;Nasim Megantara;86095396218;Bogor
CUS079;PT Novitasari (Persero) Tbk;Office;Nadine Gunawan;80540515319;Semarang
CUS080;CV Gunawan Tbk;Retail;Tgk. Rahmat Yuniar;82772217043;Bogor
CUS081;CV Gunarto;Restaurant;Ira Mulyani;874034505;Yogyakarta
CUS082;PT Uwais Tbk;Retail;Uli Farida;80527758416;Surabaya
CUS083;PD Suartini;Cafe;R. Puji Sihombing, S.Psi;80154479627;Yogyakarta
CUS085;CV Hidayat;Office;Prayogo Yuliarti;85690927557;Bekasi
CUS086;Perum Mandala;Bakery;Tgk. Hasta Sihotang;83102786814;Tangerang
CUS087;PD Prabowo Tbk;Bakery;Nurul Pangestu, S.IP;82172715518;Yogyakarta
CUS089;Perum Irawan Haryanto;Cafe;Lala Kuswandari;866912517;Depok
CUS090;Perum Situmorang Mahendra (Persero) Tbk;Coffee Shop;R.M. Ian Mardhiyah, S.Gz;80824225358;Tangerang
CUS091;PT Ramadan (Persero) Tbk;Coffee Shop;Yahya Puspasari, S.T.;82498182992;Malang
CUS093;UD Laksmiwati (Persero) Tbk;Retail;KH. Mahdi Waskita, S.Pd;81027677359;Depok
CUS094;UD Simanjuntak Situmorang;Coffee Shop;Diah Uwais;881537147;Bandung
CUS095;CV Kuswoyo Hardiansyah;Office;Kiandra Susanti;80325953278;Jakarta
