product_id;product_name;category_id;supplier_id;buy_price;sell_price;min_stock;initial_stock;current_stock
PRD001;Espresso Blend;CAT001;SUP020;13609;19237;30;399;399
PRD002;Arabica Gayo;CAT001;SUP013;76874;149207;29;371;371
PRD003;Arabica Toraja;CAT001;SUP020;43652;74572;23;150;150
PRD004;Robusta Lampung;CAT001;SUP021;19996;41341;38;382;382
PRD005;House Blend;CAT001;SUP029;33183;55981;17;311;311
PRD006;Green Tea;CAT002;SUP013;49424;101056;23;148;148
PRD007;Earl Grey;CAT002;SUP022;45966;77410;18;291;291
PRD008;Chamomile;CAT002;SUP016;25006;47964;12;146;146
PRD009;Fresh Milk;CAT003;SUP004;16188;22402;33;290;290
PRD010;Oat Milk;CAT003;SUP019;22054;39713;40;387;387
PRD011;Soy Milk;CAT003;SUP004;78620;125531;23;281;281
PRD012;Hazelnut Syrup;CAT004;SUP024;60435;125782;11;247;247
PRD013;Caramel Syrup;CAT004;SUP019;45953;74282;26;208;208
PRD014;Vanilla Syrup;CAT004;SUP008;25280;47806;37;155;155
PRD015;Chocolate Syrup;CAT004;SUP012;50890;104875;13;242;242
PRD016;Matcha Powder;CAT005;SUP028;34643;70204;27;385;385
PRD017;Chocolate Powder;CAT005;SUP022;8441;15599;36;236;236
PRD018;Taro Powder;CAT005;SUP023;8794;12860;34;258;258
PRD019;Red Velvet Powder;CAT005;SUP006;49541;80054;37;173;173
PRD020;Boba;CAT006;SUP003;79228;149868;14;115;115
PRD021;Whipping Cream;CAT006;SUP007;17026;33566;22;314;314
PRD022;Cheese Foam;CAT006;SUP012;64460;103574;19;266;266
PRD023;Cup 12 oz;CAT007;SUP029;79395;145816;11;179;179
PRD024;Cup 16 oz;CAT007;SUP002;25632;50725;31;141;141
PRD025;Paper Bag;CAT007;SUP014;40665;69081;25;326;326
PRD026;Plastic Lid;CAT007;SUP025;59287;91648;26;158;158
PRD027;Brownies;CAT008;SUP010;50242;84754;31;349;349
PRD028;Cookies;CAT008;SUP002;74066;140756;17;302;302
PRD029;Croissant;CAT008;SUP010;12180;15918;40;208;208
PRD030;Muffin;CAT008;SUP010;22987;45692;20;161;161
PRD031;Coffee Machine Cleaner;CAT009;SUP014;6013;10508;15;166;166
PRD032;Filter Paper;CAT009;SUP008;54834;97567;26;386;386
PRD033;Milk Pitcher;CAT009;SUP028;51421;70182;33;121;121
PRD034;Sanitizer;CAT010;SUP030;62176;81877;12;260;260
PRD035;Dishwashing Liquid;CAT010;SUP023;61267;111264;30;313;313
PRD036;Quos Product;CAT002;SUP001;42947;60282;40;266;266
PRD037;Doloremque Product;CAT007;SUP020;27527;55637;24;285;285
PRD038;Porro Product;CAT010;SUP004;16551;28021;17;323;323
PRD039;Illo Product;CAT010;SUP013;57487;101842;37;258;258
PRD040;Deserunt Product;CAT009;SUP025;49500;74221;15;139;139
PRD041;Ea Product;CAT006;SUP017;71910;134464;26;199;199
PRD042;Ipsam Product;CAT005;SUP027;50793;82080;30;175;175
PRD043;Odio Product;CAT004;SUP009;35968;50086;16;188;188
PRD044;Sit Product;CAT006;SUP021;25036;49676;12;190;190
PRD045;Asperiores Product;CAT004;SUP019;69764;119823;34;396;396
PRD046;Magnam Product;CAT005;SUP029;63838;122123;28;265;265
PRD047;Accusamus Product;CAT007;SUP003;46436;66675;25;326;326
PRD048;Placeat Product;CAT003;SUP019;44691;90128;11;280;280
PRD049;Deleniti Product;CAT005;SUP015;71497;97720;24;119;119
PRD050;Earum Product;CAT008;SUP010;12456;20326;12;146;146
PRD051;Molestiae Product;CAT006;SUP019;71462;117628;27;121;121
PRD052;Ratione Product;CAT002;SUP019;63947;135449;30;196;196
PRD053;Quae Product;CAT001;SUP017;47143;86955;14;131;131
PRD054;Ullam Product;CAT008;SUP029;64050;89231;36;275;275
PRD055;Possimus Product;CAT010;SUP006;16053;28158;11;226;226
