supplier_id;supplier_name;contact_person;phone;city;;;;;;
SUP003;CV Barista Indonesia;KH. Capa Anggraini, S.Psi;2351161559;Bekasi;;2351161559;;2351161559;2351161559;2351161559
SUP004;PT Dairy Fresh;Yani Gunawan;8161849593;Depok;;8161849593;;8161849593;8161849593;8161849593
SUP005;PT Beverage Supply;Betania Gunawan, S.H.;1316475255;Depok;;1316475255;;1316475255;1316475255;1316475255
SUP006;CV Java Coffee;Mumpuni Santoso;928327648;Bogor;;928327648;;928327648;928327648;928327648
SUP008;PT Packaging Solution;Marwata Mandasari;724238849;Yogyakarta;;724238849;;724238849;724238849;724238849
SUP009;CV Nusantara Food;Restu Wacana;3287101226;Bandung;;3287101226;;3287101226;3287101226;3287101226
SUP010;PT Gula Manis;Puti Kiandra Wibowo;8480184514;Malang;;8480184514;;8480184514;8480184514;8480184514
SUP012;PT Tea Indonesia;Hardi Marpaung;880957015;Jakarta;;880957015;;880957015;880957015;880957015
SUP013;PT Coffee Trading;Tgk. Halima Hakim, S.H.;171822782;Jakarta;;171822782;;171822782;171822782;171822782
SUP014;PT Food Ingredients;Paris Sudiati;383465787;Bandung;;383465787;;383465787;383465787;383465787
SUP015;CV Kopi Indonesia;Dirja Prasetyo;509839301;Depok;;509839301;;509839301;509839301;509839301
SUP016;PT Espresso Supply;Siti Halim, S.H.;51834738;Depok;;51834738;;51834738;51834738;51834738
SUP017;PT Premium Beans;Nyoman Pertiwi;3763116566;Yogyakarta;;3763116566;;3763116566;3763116566;3763116566
SUP018;PT Coffee Roastery;Zelaya Habibi;65133387;Malang;;65133387;;65133387;65133387;65133387
SUP019;PT Indo Beverage;Indra Najmudin;7317810801;Jakarta;;7317810801;;7317810801;7317810801;7317810801
SUP020;PT Clean Solution;Sutan Caturangga Wasita, M.Kom.;3602606474;Yogyakarta;;3602606474;;3602606474;3602606474;3602606474
SUP021;PT Coffee Packaging;Tami Puspita;2343098050;Depok;;2343098050;;2343098050;2343098050;2343098050
SUP022;CV Biji Nusantara;Lanang Kuswandari;882081219;Yogyakarta;;882081219;;882081219;882081219;882081219
SUP023;PT Mesin Kopi Indonesia;Mursita Prakasa;193990916;Surabaya;;193990916;;193990916;193990916;193990916
SUP024;PT Coffee Chemical;Lamar Pratiwi, M.TI.;4353462475;Depok;;4353462475;;4353462475;4353462475;4353462475
SUP025;PT Arabica Indonesia;R. Adika Haryanti, M.Ak;183842513;Semarang;;183842513;;183842513;183842513;183842513
SUP026;PT Robusta Indonesia;Intan Manullang;8498084124;Malang;;8498084124;;8498084124;8498084124;8498084124
SUP027;CV Premium Supplier;Tirtayasa Kurniawan;824493534;Bekasi;;824493534;;824493534;824493534;824493534
SUP028;PT Beverage Nusantara;drg. Dwi Habibi;640052427;Jakarta;;640052427;;640052427;640052427;640052427
SUP030;PT Smart Packaging;Dian Gunarto;5053315869;Surabaya;;5053315869;;5053315869;5053315869;5053315869
